Title,Image,css2lqh28,cssl2wjgv,joblink_URL,joblink,css3g3psg,css3g3psg1,css3g3psg2,cssr3emcz,dflex,Description,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16
,https://media.glassdoor.com/sql/1093161/hp-inc-squareLogo-1649092836906.png,4.2,HP,https://www.glassdoor.com/partner/jobListing.htm?pos=1316&ao=1136043&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_43f86f59&cb=1678585948661&jobListingId=1008522998144&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-1efad758ef1b4be1-,Junior Data Scientist,"Spring, TX",$67K - $100K (Glassdoor est.),(Glassdoor est.),,24h,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,HP,Junior Data Scientist,"Spring, TX",$67K - $100K (Glassdoor est.),,,24h,,3.0
,https://media.glassdoor.com/sql/134457/kum-and-go-squarelogo-1536852471433.png,3.4,Kum & Go,https://www.glassdoor.com/partner/jobListing.htm?pos=1317&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_53dfb19a&cb=1678585948661&jobListingId=1008232376713&cpc=87034903B3AB482B&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-c1e97b9a618170b7--6NYlbfkN0Ary0qFmdCB0fJzP6yo20VSBnMHiEDzxnbj6p900ThwXbFG10Fys7JX6oTMBjonedWC2cbaQjOF_Q1D8llFZtuBxdK51yfvAPOLkE01xEPtTAlN5DaF5j8x0bONPpDnmsHWonew0ZevUOt1KIV_hHT1PRUA6IIgEHJTzakMw51YMi1_dhbcSVLSK1K63TUE2QjIkqbAHhIA5xLcFjumMLEeWM8Oux9rOFRYPjOojbID4H-SDKGuxvfi0gIk8ukLT_R0Q01wLzBaVie3bjmZiVgacWPCu4RtCleF5M5XSqXQL8IN6qtjz3OVChKKUZqjFd_L9niq0bnE3x5vSLEylHuodWZuHooMp4oeftBPWJHHqy5NfKXFhLH4hCS5i20XFsrRnHCjdP11X9w_3BoIB0KRjE1hd_4R0KPFaVOaAv18GluZO1bId98cvs1CrBU_KY7seQaArBp_wgTlQJuP3yGyi1KrLXJ-ezmW3L7-CV29OFDEh0bA9p4UQ5Tk-m1mRHfo_hBici_stiUosSURjVjf886mQqVfQfAjvxjsC8A5-JVbRyMQ_YfZsoLwZma3BEtFJQgKVN3wygmkKzO0cOc-9gKtoo7Q21kjEJ5XpcOOcBby91dND-LRWVHQByRyMgi0AcJQL2J2XgN3HiWQevqO8fc6IBIaJ7cUtNX2oEtb-vUZG84yjEm54G17E-9snU4eaLhX3ICEzjMsPR1hTbcFh_9vMDp2HZKMl_Eg-9RYqpbW0T5hkSa8ic7qd6xAE_D2IZlPoG16wPYVLH7yp-Y0Z0OqD4S8bFzR0HTKX-cieBST89mY-yqtU8STwfraCO26momUqmTHVrJCE9SZ3UmJQeD96VDH99ZMtaCGuOLMSAWs-lG-NsRl6Yz-3hWVFKM%3D,Senior Data Analyst,"Des Moines, IA",$59K - $84K (Glassdoor est.),(Glassdoor est.),,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Kum & Go,Senior Data Analyst,"Des Moines, IA",$59K - $84K (Glassdoor est.),,,30d+,,3.0
,,,"Sysdata Consulting, Inc",https://www.glassdoor.com/partner/jobListing.htm?pos=1318&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d888bdfe&cb=1678585948662&jobListingId=1008196464329&cpc=8AC01DCC8FF2DC38&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-9aa8147feda8cf60--6NYlbfkN0BaDZEsttO1kRyIf1eM9wjKvwLY8pFy-inC4hbxhO1u5cLKRxQJe6E2zaCYuywFCDZmm6Gp3I4JBUBbND6lwqGgBbTDvPuJ66TmdHWO_EVX0PyWDSUKIY6XJE5qARcqDg53pwQLsriJxIB_REW3-i4M0eoOC0_gSeYgBdFr-SAuiMIvbtm9GDQ0bf5MYdTXhS_buxdAO0vkX5pxIhR5tEKl5V2OvcVp727HLcLZw21rDrvKUeHEcnm8UjBsy75JGi0TOWJ-JwgiPZRpEcOjRKkb9wXQ-Iu1hx_ojmPXnxMGvu4Oo6SAjyn3QfE0leFfRTryl8FgDNwoUwmV5fKn5A_nmR286jGXS2vaMpjfT61SDyD916I8IN58IdBhBLkf6g3gSoQXhMyx7xw3ozennqSJqpUkigE3UslbHz4i6jUfTOG0C7cEg0B5SRwz936wzl-whohyrTvYFM6w1aPHfDY3NPLx8k2BICIbinHnZ104qBofSX0anpeHMdzMBVv8KADeU_QJ2R_KWRffzjfrcNNN2S4iEQ6KCPb3VKMiKACiboVnwDK_CiRobNDzXBhmqVSDiA_-jR_YGGw4Nikd_R0k9D7qBVp4QU3t88QcSCeCsrn_HKkbHCc7,Contract Senior Statistical Programmer (Remote),Remote,$100.00 Per Hour(Employer est.),(Employer est.),Easy Apply,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,"Sysdata Consulting, Inc",Contract Senior Statistical Programmer (Remote),Remote,$100.00 Per Hour(Employer est.),Easy Apply,,30d+,,3.0
,https://media.glassdoor.com/sql/23998/utah-state-university-squarelogo.png,4.2,Utah State University,https://www.glassdoor.com/partner/jobListing.htm?pos=1319&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_089a19b7&cb=1678585948662&jobListingId=1008479399662&cpc=84DBBAA61F05C438&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-56bfc5ce53aa6e85--6NYlbfkN0CysDzHxwzSGEmGVRuTgNr8FHm75WqCxlpLF7RWbU4B0kI0qlLnzsnF4Y1RJIW8mGD9Oicg2spRE4lOAysmdX6dBUhoJO9qTEH7rG0ROc1KjXiP8U65Csn2P4ct5goyG3LCgU1uYMQQkMrI-s2bqsM660n6ldmB2uhZrSzpnMeTzXT2eOtG0Z16I5Q27cuFI3Y4WISGbojQcabs0tT5IfhhnEtIvKzjRM_WUnLCo5Bykg7PqRKsvHEKJ_zzURCb4GfmOn2xxv73KqCmoUvnjAJFYKchPRcqPfxh6WONv75bmLWfXAhpHMw0vUuxu-4s8Voq9-rmkdg1UPTJbAAMhoU6Nk_61HFy_i-9jzFdT6TbktQRfrZaJmy_KJJ2ThAevvbM9YGmKVsLtEqrb-Dfp7H6fGwXnbfLFqWsE7zrZc2O56MaPmEk6anDKAQ6f4q-p9URrBsBo4UGWLHIuHYUOpr2VAQkWzzOzyDUT-dfRsjgMQP8TW5fiOggojZJLf5ZzhYXvZMbyrgsos3y3AwF5R2j,Data Scientist,"Logan, UT",$71K - $108K (Glassdoor est.),(Glassdoor est.),,22d,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Utah State University,Data Scientist,"Logan, UT",$71K - $108K (Glassdoor est.),,,22d,,3.0
,https://media.glassdoor.com/sql/1201/caci-international-squarelogo.png,3.9,CACI,https://www.glassdoor.com/partner/jobListing.htm?pos=1320&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_afb68275&cb=1678585948662&jobListingId=1008508538338&cpc=21001CD36CB5FE0E&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-e41029a67baa7b23--6NYlbfkN0DeKde-pU_olD4YUrw_gjyRI1n-4QX0HDStiN2-PsFXQbNScsEQqavu_Pyy036DCeO6kgEebgH8Y8tCo_qWbUKWn5k5H2a6nuywPVDiZpnREM0RJiUFWea8NZrNriaPMUD5Cz70VS8CpAqByJ2ANKTvKD1StcwWCeS8xI-gcpiAJ9H4k72k6urvtdZKOTkWfxfMDdGnzb3EoGAzW1aK04m4bjSMBkDXMEm3Wd0TvhUvBf-HYv0AZtLlAFi94RvCiysxL47-z121SQ65uUZWHLGPZYhz89HauRRTISAbwWEHjF1qxDzGrqcl5417ImmdOqPeSr1qZMIfrA8HyqT9_y4p148v75pObNL1sJGCFPE1JbG0iziQ5kxPLRuq2wGo6s90xrH8jHyVP284HeCdkXqhVgybpxHHCuWQ_D9qrNTBePbs9PixzMj6u6pVQAnirrRiQaEvNv-G3rn84BbHAXQQpjY0fex4Y9NjBBydajG4Qd5TeMf3PJR7iNkjoQj20BIPE-fcaVNzfg2DLFOKiITPoZXI3YfCFryC2vuaiXaOvH24rcLCnzRO2kXwMKgsWI7_Hy6OU26DEs1R1igGwsSQE-ZLLSsiXqN6ca6KokDJ4VxzEcOIAHf9blNs7y9Wol7fVTK9DYbIB2KquiWH_h_EA5P8DgKTVq1jJgjR6LZK8e6Uv7HVeyp_ASDqjE0y52IhWzUzzMhms7u5sz5Hvx3NU8h9zvGiHwk%3D,Data Engineer,"Fort Bragg, NC",,,,7d,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,CACI,Data Engineer,"Fort Bragg, NC",,,,,,3.0
,https://media.glassdoor.com/sql/3300024/raytheon-intelligence-and-space-squarelogo-1585940326248.png,3.8,Raytheon Intelligence & Space,https://www.glassdoor.com/partner/jobListing.htm?pos=1321&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab4fa4e2&cb=1678585948662&jobListingId=1008172765329&cpc=878687325D2A5CC7&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-ef28cc8095bcf7cd--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRynieFigtAr4ZnQ2BZ-g-AR6SS6nalLPd7lobyfbflzWnOm9kQXb7rfj4ZIudXS1RnfNKRlYEVNczzeV9-5BFwU6q_Ere2h6fqV88en3MCXQnwaizcfUBFSGN18Wa3lXUgwToqGgxgycudV3pP3D7e7VNiJpzaIs9JyDs6JgriAsmX_X7KRrrkj9AX46wBOdvZA-Dj_l8LWwgEa1YlO1AH-yrMvq2__avPD-F8FAYVeMy5fLE14BOpRtWdbks_tidgyid2oCQQKaD3bjnXHC501G7gfRy-Uf1O3zRWv0FH0mzcKTS_de4h8k1N84MoBDCujQ7MW4ff4UEe8Wl-fyoXaCC-ExbzCd1QMml37dWSvbq0Qa2TPLmfVZHjivaUlJHqBmxIaZAAd0PUVVxh8G4PFt5fXz7ShDFo_eQQ-xxDjW6A1uQV7uCWXin_LW5EmvtjMUvRqPVYjjm-BOFXDExpEYNZNC8mE79Zgf5mNx0mo3tcweZKB75z4czFDSory1OU8K0ewNABh84DElAWXIxJNcckG6raddY7-mGnFyx6TtNR9fD_P2HdxxoO5OSSphfS1f1_oTJLkgDhtMy0DVeE1w-UKUfaK7jFwE3Q2QamrHdmWg8ZgzHFO6veDRGGsyVDVVrCaBwF16e9TbJY5abUyatWNodJNgbdGveWJUoYyJr2YCeIsVozaW75OpcDkX2dsaDhHa9Ebj3VyZzOcheD0UHopUGpIR8WURUGS6oVfObXu4qpd36ZiyvGhRXk8aZsRp5xhhaHhfWwLuWjfW50D9aYLOBpj6MUIRYvVNqoAdftLN4spdZQUPrmUfqfpxg2LL_11vkhBrJDm_bkbtt3bR2ly5R64FFev-mPpYye03NwM28l7695spWM6TRn9Ha6zzOFzL9C1BeCnDE1Lx3H1NUmfC8sCFifqY155pYog02_7TS5LjWiFiI%3D,Data Scientist/Principal Software Engineer (Onsite),"Aurora, CO",,,,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Raytheon Intelligence & Space,Data Scientist/Principal Software Engineer (Onsite),"Aurora, CO",,,,,,3.0
,https://media.glassdoor.com/sql/5527/bloomberg-industry-group-squarelogo-1583248825140.png,3.6,Bloomberg Industry Group,https://www.glassdoor.com/partner/jobListing.htm?pos=1322&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_beae7026&cb=1678585948662&jobListingId=1008333856762&cpc=59DEFF8D475298C3&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-78a8d34089bdcbe1--6NYlbfkN0DQJVj3nE-ojcde6j17RFH5ufg4E4jejBl_AArWOANfmZ4ILct6WL_RUT8XTtyTCRwD_nsug0Qtdj-h3ENmNM1m1sr7at_ap0b6ddrutVbhzdSbnh57EJ9wbOUVYen1L7LXHGB9hQR7Yozx9o3y_pPUQm6WU6TuvAequ6LilHXu0Kv7Rf2nNbYNxsslZx_8GJYjohWqC3Ya8rVazcK2c3z-VIl0I7tacclzOsgp6jTlnJClilJStoUhkwn2v9GgZIbq3LyzQZ0Wh8tp2aapjBPnKmZ8NU3kwLe-8jEC56Zfjhr8We5zRQxyRdwtzBdgZLvok8B0HQMkDUFzV930H-ywL8-sh-svfFDN8eeRx3AllWMohWvGn-ReTYm9xT_xdtxmyoDn8rdhDHSkxgIL8S3rkdciMqddpxTkWqiliLEFCgI-r1BrGAVdBVzpvxE__qwlNFWpItkKOicPgmRL0dIlU9tBPhvvptqFAke8UPxInaQ3GSyv07z8BfGvWhNwPkv3KhtOIwU7Dp5QZ3uKv4tL_2pgNi3rj2Z1XbCZpqK4pgNpKTSpgikT6BAzGJRoZas%3D,Data Scientist,"Washington, DC",$110K - $130K (Employer est.),(Employer est.),Easy Apply,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Bloomberg Industry Group,Data Scientist,"Washington, DC",$110K - $130K (Employer est.),Easy Apply,,30d+,,3.0
,,,Grace Truss Solutions Group,https://www.glassdoor.com/partner/jobListing.htm?pos=1323&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6e0a387f&cb=1678585948662&jobListingId=1008517350444&cpc=42BEC95245890617&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-339dd84098abf3bd--6NYlbfkN0DZZww-p_mr8GWlqIRBY21Wjl_Fk3kglyx5_HcxykVqwUWF8B8ul9xINtu6iAK_bY5jIeld9OvLhHHe6ldxeQEOmyHqPRwKAhgFfEzzfVE8QLxm6PC6p6hsMi6UsFyUTAnhKwWxQYPlu9rz0XOladCrKz-DgCBF1KYWnzzis-tLFrF1fWQsgAnkpMX3ej3W8mYMBMm2cMlDyMcx2iMqf_C-ZOHv_WlfsfbcqtqmQigVEkWZWZihAwJSMuXws0bRsGa1TAjJwEFw4oStwJ0uZR5RlCmjKIh5d9ZxFceDlt67zNQQdh_9bJ8MVqd-XRextnAQK9FsooKxCUiAKZ24vlU70V80OJnrek6QpFfba00XI579XaPIABvlyUXR6KCYwAjzyQIK5PKmL6RjwJsWthVCHOjLxP8aW5kfdi_PJmxbXrMVrTR8tTkIEs3igrxrnUhA4HWp8VuUsLxJ1MB1fWYg0TGY_shhw_DfghVr40U4MF6c8t9U9UtARZMMkoFmCXehiXRA7AIh-NgTX6AuOjhaJRCzvfnip4tILzG2DIs2tDO2nvgbWKrR5izaFKE8ky4VGthXz2ZQPUySWmLp4k43,Data Scientist,"Fairfax, VA",$190K - $230K (Employer est.),(Employer est.),Easy Apply,3d,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Grace Truss Solutions Group,Data Scientist,"Fairfax, VA",$190K - $230K (Employer est.),Easy Apply,,3d,,3.0
,https://media.glassdoor.com/sql/6234/highmark-health-squareLogo-1622751102332.png,3.7,Allegheny Health Network,https://www.glassdoor.com/partner/jobListing.htm?pos=1324&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_4c49bb03&cb=1678585948662&jobListingId=1008311456371&cpc=39721386339D0809&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-2fcc483ae1d2e175--6NYlbfkN0CkDCxCQ_zBBGMC2k67DQ0nfCSiDkGx1VFWrdw6nWehnPJiU0-N-32EW8is8Wvm05PdkdOwUiQHuJyM7D0scVorYBBrwTpHJLMFH_qcU5FlQhVj7hFH-49afXAqUJ0fEzFWjNXXI58ZqoVbxoi-Q4R_PBB-HHT5DfUI_89Qsva1TV9lkvEQktIWxvexJxSpryU4bK4AXiJCOT0tXYfJ3Wrw5Bc_MEzovLA3xN0HpVgZ0CDZVOxnjX9UfCUmN6tGGtkVvdtxb6ceJr3wioUkbkjmJ2AJ6RC4T1z_cnBHaKL1sd4A2wgckZZSjo9bY5Wlwcfq0XcahAdPPFgTSByjoA1sLkAhgKj8KggnbBsvpZHfNDk7LHRPBGrc0fPoJIVAUNY5t74QXSILIQMy7roDzQcszP1Y6gGLmzMPA90FsSOas9ytFpG7iPdOUd4-Q5i7VZtr2W_4qGXhftTK_YHw1nmZuXPix7ZqFT1BAXstNHQvhEjRC2lOdZG8AtYXuS63F1T_2e1ZnoxxOxP0o_tsS91X26tuKoPRTHITFuGMzlyGngin8gaihQ4_iDZL2cOHG9an8PQA_JRXdR90LE02_Yt8mbxJ0F9NLN2FiUWoqsnJvSn_26XoWu-4FglKKM6ZCmUS8u9wI1NYjaCHU4UsLgRfgVS7Nn8W4gs60LZreO7dLhkO06sT2JVcEdEDSDoas6VWOzJFBDaS5c7MYNKYTYN4rRBf8neY2ZeRwQSrkg0ijQ%3D%3D,Data Analyst Senior,Pennsylvania,$23.78 Per Hour(Employer est.),(Employer est.),,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Allegheny Health Network,Data Analyst Senior,Pennsylvania,$23.78 Per Hour(Employer est.),,,30d+,,3.0
,https://media.glassdoor.com/sql/507/pnc-financial-services-group-squarelogo-1524603954371.png,3.6,PNC Financial Services Group,https://www.glassdoor.com/partner/jobListing.htm?pos=1325&ao=1110586&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_04bb73ef&cb=1678585948662&jobListingId=1008502856439&cpc=65CC663E25211861&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-c47576ad66fe4b50--6NYlbfkN0AMofH_6zXbiqn6xehDj89HQNfpf30LHk40Y3Yl5cZTpm-EXukPQNet_K9MQV9Co4xFZ7gbN1gbxQ8LIVzVzGT3fUE3hFiQh0V27VGSIiR80KWQcupshnQHuzUimXI3lC6q6mu2TdXBcS0A1ga8MR0GoB1_BVWeF5XC2ZLP5M5Em8JPFF6g9y3FdY4iY8ENy0bcOkU48bc1JFusJ2wpg91q-_oyFVQTKSSbJqFTsH3L4MdWfw2T5eCsM-HwGKxnSGxj-Mhxl5qk1gBXFLuIYmGj_qVhalDoFl1UWubg22wcG1WJKlcwD8XbhiZih30Gi5JtSbiUy7mnxOEnQcAcme-EhNUalvCneS_YjktwqTl3iqV5ghn2Mt09o2fCcEZyNzp2HOhWG6Rdhcukfyiq4-wLnYXQcLi9lTVhwwjpmd9i4Zy_GOoC862r9ehQzXGKXJ5CUst3P50wByc98BmyHhQ0Opm0oZduiZUKPZSs7Fz6QRfiwx7i6ocMTM0_L7ImE3Jik1U1qDK5bTz_WzhXAHjSaJSIrS0qVPftWSwI2T8sHutVrS8YNTBQyQkXbk6zupQOIF6WgifzG8rhuiefHyC96WjRGnHCQ68D-6sy10j62sQUMPdLaQ1wbu0FrnUpy9Xf1pA_03_FqDwUm1dpEZLN9FMtlKg98VubOYBcxErC1GiYbbO6nCFLdAIPHq733DCnqNrGTQZ1_3D_JN6DCGccSLu2-tgyrC5pcITES50AYH1rDhJ_zGFV-PZAI89V__P-oNwOMghxOa-gDz2SXiseUHRSy0AJyVLRag44x5FuQQGe6h8l-PRgv4mqgsxNjAhwJwMI0yExcdNBBXGxeYKYctCs5DIFrDMYwhDhVvRsoyjsPlHKcMap29S6WU_VHJNyRhqPsNeOt3EBQzr0hYsJYw1rWF-p11s-UvhPSF0bn2bbh-FOOZ_Cub4_6J-K7ohDPIjF9S4rDBnHpFfrtl5pGfBygNZRoQqId3Wj7v3PEUvMcEdeIOrMZZKvHD94Hx8JCMxLmrtPaAL3idJvMfhmNpLaS5VHMQvd8tdu2nBUSMWZsEh5H4VI-qrgNSof_8hr2zjfsAQSmPvh8VeMQkRzLgjSldkYyhZtbDa2PVctpz0c8FVmd8WxpLug7ducWr3FVEdvYXOMyXbYJZfeqTyxeBdbFZesap8%3D,Data Scientist Sr,"Pittsburgh, PA",,,,10d,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,PNC Financial Services Group,Data Scientist Sr,"Pittsburgh, PA",,,,,,3.0
,https://media.glassdoor.com/sql/40260/paramount-squareLogo-1663339194978.png,3.9,CBS Sports,https://www.glassdoor.com/partner/jobListing.htm?pos=1326&ao=1136043&s=58&guid=00000186d384e85fbabcfb2b830f06ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba465fab&cb=1678585948662&jobListingId=1008523279106&jrtk=3-0-1gr9o9q3snceu801-1gr9o9q4g23e6000-00209b21fef3b9b9-,Data Engineer/Scientist (Freelance/REMOTE),"New York, NY",$40.00 - $60.00 Per Hour(Employer est.),(Employer est.),,24h,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,CBS Sports,Data Engineer/Scientist (Freelance/REMOTE),"New York, NY",$40.00 - $60.00 Per Hour(Employer est.),,,24h,,3.0
